168,67
407,14
564,34
635,25
1042,67
1158,69
1276,76
129,114
227,127
494,119
565,114
606,102
723,135
847,101
959,99
1063,136
1265,179
72,157
156,172
279,153
386,201
571,219
658,177
798,182
861,194
952,127
961,188
1000,159
1151,212
1302,203
106,200
234,243
337,227
498,239
595,275
636,271
690,224
815,236
891,218
990,267
1026,251
1273,261
44,245
173,278
270,294
350,275
421,253
518,310
669,319
729,281
861,281
935,268
990,320
1042,311
1160,303
1307,320
97,312
205,317
233,347
287,340
371,360
415,352
524,400
596,389
659,381
705,373
774,356
875,348
950,343
1048,362
1140,364
1232,371
83,349
130,399
189,389
270,388
316,437
388,427
437,419
541,443
635,465
673,437
757,416
812,401
870,382
960,422
1052,446
1091,459
1140,436
1196,439
1289,428
52,457
55,489
136,470
176,462
364,500
407,488
456,471
512,481
613,502
693,469
809,439
885,428
962,461
1167,482
1257,506
1308,501
1142,569
420,570
484,506
521,551
548,533
634,546
700,537
804,496
958,554
1061,589
957,616
1277,629
41,653
81,653
151,645
313,640
401,617
573,583
752,554
854,593
1001,770
1052,627
543,643
594,612
708,611
810,667
893,640
1091,654
1244,721
264,704
438,672
538,676
708,667
847,686
954,705
1048,694
55,776
96,765
160,758
208,746
277,737
331,735
392,714
424,749
474,715
495,746
605,725
637,781
719,779
766,789
881,749
882,879
1084,787
1179,784
1301,794
157,791
214,803
344,818
473,793
573,816
608,844
715,831
762,824
1147,986
973,844
1110,884
1231,853
1283,903
18,854
84,843
183,834
295,860
367,871
435,855
465,870
543,834
669,888
737,932
818,921
941,899
1063,902
81,938
136,969
221,913
232,985
417,921
437,947
484,945
569,903
580,958
873,1000
1070,1006
